signal_id,module,ticker,kind,date,market,horizon,ret,bench,excess
stocks:ORRON.ST:buy:2026-06-18,stocks,ORRON.ST,buy,2026-06-18,SE,20,-5.6654,-0.9973,-4.6681
stocks:OVZON.ST:buy:2026-06-18,stocks,OVZON.ST,buy,2026-06-18,SE,20,-15.7712,-0.9973,-14.7739
stocks:SALT-B.ST:buy:2026-06-18,stocks,SALT-B.ST,buy,2026-06-18,SE,20,-24.8021,-0.9973,-23.8048
stocks:NCAB.ST:buy:2026-06-18,stocks,NCAB.ST,buy,2026-06-18,SE,20,-8.3645,-0.9973,-7.3673
stocks:HOFI.ST:buy:2026-06-18,stocks,HOFI.ST,buy,2026-06-18,SE,20,6.0073,-0.9973,7.0046
scanner:ERIC-B.ST:big_move:2026-07-10,scanner,ERIC-B.ST,big_move,2026-07-10,SE,5,-13.5572,-0.9705,-12.5867
scanner:NOKIA-SEK.ST:big_move:2026-07-10,scanner,NOKIA-SEK.ST,big_move,2026-07-10,SE,5,-18.6517,-0.9705,-17.6812
scanner:SIVE.ST:volume_spike:2026-07-10,scanner,SIVE.ST,volume_spike,2026-07-10,SE,5,-29.1878,-0.9705,-28.2173
scanner:MORROW.ST:big_move:2026-07-10,scanner,MORROW.ST,big_move,2026-07-10,SE,5,-4.451,-0.9705,-3.4805
scanner:EPIS-B.ST:big_move:2026-07-10,scanner,EPIS-B.ST,big_move,2026-07-10,SE,5,-10.8192,-0.9705,-9.8487
pead:BULTEN.ST:entry:2026-07-10,pead,BULTEN.ST,entry,2026-07-10,SE,5,0.7797,-0.9705,1.7502
pead:CARA.ST:entry:2026-07-10,pead,CARA.ST,entry,2026-07-10,SE,5,-0.8197,-0.9705,0.1508
scanner:SPRINT.ST:big_move:2026-07-16,scanner,SPRINT.ST,big_move,2026-07-16,SE,1,-1.6129,-0.0819,-1.531
scanner:HTRO.ST:volume_spike:2026-07-16,scanner,HTRO.ST,volume_spike,2026-07-16,SE,1,-0.044,-0.0819,0.0379
scanner:SIVE.ST:big_move:2026-07-16,scanner,SIVE.ST,big_move,2026-07-16,SE,1,-5.9022,-0.0819,-5.8203
scanner:ABB.ST:volume_spike:2026-07-16,scanner,ABB.ST,volume_spike,2026-07-16,SE,1,1.0477,-0.0819,1.1296
scanner:BOOZT.ST:volume_spike:2026-07-16,scanner,BOOZT.ST,volume_spike,2026-07-16,SE,1,-1.0672,-0.0819,-0.9852
scanner:ACCON.ST:volume_spike:2026-07-16,scanner,ACCON.ST,volume_spike,2026-07-16,SE,1,-13.5731,-0.0819,-13.4912
scanner:NOKIA-SEK.ST:big_move:2026-07-16,scanner,NOKIA-SEK.ST,big_move,2026-07-16,SE,1,-3.3234,-0.0819,-3.2415
scanner:UNH:volume_spike:2026-07-16,scanner,UNH,volume_spike,2026-07-16,US,1,0.6401,-0.9897,1.6298
scanner:AMD:big_move:2026-07-16,scanner,AMD,big_move,2026-07-16,US,1,-1.0341,-0.9897,-0.0443
pead:UNH:entry:2026-07-16,pead,UNH,entry,2026-07-16,US,1,0.6401,-0.9897,1.6298
pead:GE:entry:2026-07-16,pead,GE,entry,2026-07-16,US,1,0.8966,-0.9897,1.8864
pead:BUFAB.ST:entry:2026-07-16,pead,BUFAB.ST,entry,2026-07-16,SE,1,-0.2869,-0.0819,-0.205
pead:CAMX.ST:entry:2026-07-16,pead,CAMX.ST,entry,2026-07-16,SE,1,-1.6432,-0.0819,-1.5613
pead:CLA-B.ST:entry:2026-07-16,pead,CLA-B.ST,entry,2026-07-16,SE,1,2.2523,-0.0819,2.3342
pead:EPEN.ST:entry:2026-07-16,pead,EPEN.ST,entry,2026-07-16,SE,1,-2.8607,-0.0819,-2.7788
pead:GRNG.ST:entry:2026-07-16,pead,GRNG.ST,entry,2026-07-16,SE,1,1.0095,-0.0819,1.0915
pead:HTRO.ST:entry:2026-07-16,pead,HTRO.ST,entry,2026-07-16,SE,1,-0.044,-0.0819,0.0379
pead:INDT.ST:entry:2026-07-16,pead,INDT.ST,entry,2026-07-16,SE,1,-2.6667,-0.0819,-2.5847
pead:INWI.ST:entry:2026-07-16,pead,INWI.ST,entry,2026-07-16,SE,1,-1.6083,-0.0819,-1.5264
pead:MIPS.ST:entry:2026-07-16,pead,MIPS.ST,entry,2026-07-16,SE,1,7.4819,-0.0819,7.5638
pead:PACT.ST:entry:2026-07-16,pead,PACT.ST,entry,2026-07-16,SE,1,-2.9457,-0.0819,-2.8638
pead:PEAB-B.ST:entry:2026-07-16,pead,PEAB-B.ST,entry,2026-07-16,SE,1,-0.9174,-0.0819,-0.8355
pead:TROAX.ST:entry:2026-07-16,pead,TROAX.ST,entry,2026-07-16,SE,1,-2.2346,-0.0819,-2.1527
pead:VITR.ST:entry:2026-07-16,pead,VITR.ST,entry,2026-07-16,SE,1,-4.4019,-0.0819,-4.3199
breakout:JBHT:breakout:2026-07-16,breakout,JBHT,breakout,2026-07-16,US,1,-2.3458,-0.9897,-1.3561
breakout:KAMBI.ST:breakout:2026-07-16,breakout,KAMBI.ST,breakout,2026-07-16,SE,1,0.9581,-0.0819,1.04
scanner:NOKIA-SEK.ST:big_move:2026-07-17,scanner,NOKIA-SEK.ST,big_move,2026-07-17,SE,1,nan,0.0,nan
scanner:ACCON.ST:volume_spike:2026-07-17,scanner,ACCON.ST,volume_spike,2026-07-17,SE,1,nan,0.0,nan
scanner:SIVE.ST:big_move:2026-07-17,scanner,SIVE.ST,big_move,2026-07-17,SE,1,nan,0.0,nan
scanner:ABB.ST:big_move:2026-07-17,scanner,ABB.ST,big_move,2026-07-17,SE,1,nan,0.0,nan
scanner:VOLV-B.ST:volume_spike:2026-07-17,scanner,VOLV-B.ST,volume_spike,2026-07-17,SE,1,nan,0.0,nan
scanner:EVO.ST:volume_spike:2026-07-17,scanner,EVO.ST,volume_spike,2026-07-17,SE,1,nan,0.0,nan
scanner:INSTAL.ST:volume_spike:2026-07-17,scanner,INSTAL.ST,volume_spike,2026-07-17,SE,1,nan,0.0,nan
scanner:NOKIA-SEK.ST:volume_spike:2026-07-17,scanner,NOKIA-SEK.ST,volume_spike,2026-07-17,SE,1,nan,0.0,nan
scanner:EPIS-B.ST:big_move:2026-07-17,scanner,EPIS-B.ST,big_move,2026-07-17,SE,1,nan,0.0,nan
scanner:ABB.ST:volume_spike:2026-07-17,scanner,ABB.ST,volume_spike,2026-07-17,SE,1,nan,0.0,nan
scanner:SIVE.ST:volume_spike:2026-07-17,scanner,SIVE.ST,volume_spike,2026-07-17,SE,1,nan,0.0,nan
